detail,event_count,file_path,matched_media_id,matched_slug,media_type,plex_guid,sidecar_path,status,title
ambiguous movie title match,0,F:\MediaStack\data\media\movies\War of the Worlds (2025)\War of the Worlds (2025) [Bluray-1080p] {imdb-tt13186306}.mp4,,,movie,imdb://tt0407304,,unmatched,War of the Worlds
ambiguous movie title match,0,F:\MediaStack\data\media\movies\True Grit (1969)\True Grit (1969) [Bluray-1080p Proper] {imdb-tt0065126}.mkv,,,movie,imdb://tt0065126,,unmatched,True Grit
ambiguous movie title match,0,F:\MediaStack\data\media\movies\True Grit (2010)\True Grit (2010) [Bluray-1080p] {imdb-tt1403865}.mkv,,,movie,imdb://tt1403865,,unmatched,True Grit
ambiguous movie title match,0,F:\MediaStack\data\media\movies\Total Recall (1990)\Total Recall (1990) [Bluray-1080p] {imdb-tt0100802}.mp4,,,movie,imdb://tt0100802,,unmatched,Total Recall
ambiguous movie title match,0,F:\MediaStack\data\media\movies\Total Recall (2012)\Total Recall (2012) [Bluray-1080p] {imdb-tt1386703}.Clean.mp4,,,movie,imdb://tt1386703,,unmatched,Total Recall
ambiguous movie title match,0,F:\MediaStack\data\media\movies\The Thing (1982)\The Thing (1982) [Bluray-1080p] {imdb-tt0084787}.mkv,,,movie,imdb://tt0084787,,unmatched,The Thing
ambiguous movie title match,0,F:\MediaStack\data\media\movies\Scream (1996)\Scream (1996) [Bluray-1080p] {imdb-tt0117571}.mkv,,,movie,imdb://tt0117571,,unmatched,Scream
ambiguous movie title match,0,F:\MediaStack\data\media\movies\The Running Man (1987)\The Running Man (1987) [Bluray-1080p] {imdb-tt0093894}.mkv,,,movie,imdb://tt0093894,,unmatched,The Running Man
ambiguous movie title match,0,F:\MediaStack\data\media\movies\The Running Man (2025)\The Running Man (2025) [Bluray-1080p] {imdb-tt14107334}.mkv,,,movie,imdb://tt14107334,,unmatched,The Running Man
ambiguous movie title match,0,F:\MediaStack\data\media\movies\Rush (2013)\Rush (2013) [Bluray-1080p] {imdb-tt1979320}.mkv,,,movie,imdb://tt1979320,,unmatched,Rush
ambiguous movie title match,0,F:\MediaStack\data\media\movies\Sabrina (1954)\Sabrina (1954) [Bluray-1080p] {imdb-tt0047437}.mkv,,,movie,imdb://tt0047437,,unmatched,Sabrina
ambiguous movie title match,0,F:\MediaStack\data\media\movies\Sabrina (1995)\Sabrina (1995) [Bluray-1080p] {imdb-tt0114319}.mkv,,,movie,imdb://tt0114319,,unmatched,Sabrina
ambiguous movie title match,0,F:\MediaStack\data\media\movies\Red Dawn (1984)\Red Dawn (1984) [Bluray-1080p] {imdb-tt0087985}.mp4,,,movie,imdb://tt0087985,,unmatched,Red Dawn
ambiguous movie title match,0,F:\MediaStack\data\media\movies\Payback (1999)\Payback (1999) [Bluray-1080p] {imdb-tt0120784}.mkv,,,movie,imdb://tt0120784,,unmatched,Payback
ambiguous movie title match,0,F:\MediaStack\data\media\movies\Overboard (1987)\Overboard (1987) [Bluray-1080p] {imdb-tt0093693}.mkv,,,movie,imdb://tt0093693,,unmatched,Overboard
ambiguous movie title match,0,F:\MediaStack\data\media\movies\Mean Girls (2004)\Mean Girls (2004) [Bluray-1080p] {imdb-tt0377092}.mkv,,,movie,imdb://tt0377092,,unmatched,Mean Girls
ambiguous movie title match,0,F:\MediaStack\data\media\movies\Little Women (1994)\Little Women (1994) [Bluray-1080p] {imdb-tt0110367}.mkv,,,movie,imdb://tt0110367,,unmatched,Little Women
