plex_guid,file_path,media_type,title,status,detail,matched_media_id,matched_slug,sidecar_path,event_count
imdb://tt0407304,F:\MediaStack\data\media\movies\War of the Worlds (2025)\War of the Worlds (2025) [Bluray-1080p] {imdb-tt13186306}.mp4,movie,War of the Worlds,unmatched,ambiguous movie title match,,,,0
imdb://tt0065126,F:\MediaStack\data\media\movies\True Grit (1969)\True Grit (1969) [Bluray-1080p Proper] {imdb-tt0065126}.mkv,movie,True Grit,unmatched,ambiguous movie title match,,,,0
imdb://tt1403865,F:\MediaStack\data\media\movies\True Grit (2010)\True Grit (2010) [Bluray-1080p] {imdb-tt1403865}.mkv,movie,True Grit,unmatched,ambiguous movie title match,,,,0
imdb://tt0100802,F:\MediaStack\data\media\movies\Total Recall (1990)\Total Recall (1990) [Bluray-1080p] {imdb-tt0100802}.mp4,movie,Total Recall,unmatched,ambiguous movie title match,,,,0
imdb://tt1386703,F:\MediaStack\data\media\movies\Total Recall (2012)\Total Recall (2012) [Bluray-1080p] {imdb-tt1386703}.Clean.mp4,movie,Total Recall,unmatched,ambiguous movie title match,,,,0
imdb://tt0084787,F:\MediaStack\data\media\movies\The Thing (1982)\The Thing (1982) [Bluray-1080p] {imdb-tt0084787}.mkv,movie,The Thing,unmatched,ambiguous movie title match,,,,0
imdb://tt0117571,F:\MediaStack\data\media\movies\Scream (1996)\Scream (1996) [Bluray-1080p] {imdb-tt0117571}.mkv,movie,Scream,unmatched,ambiguous movie title match,,,,0
imdb://tt0093894,F:\MediaStack\data\media\movies\The Running Man (1987)\The Running Man (1987) [Bluray-1080p] {imdb-tt0093894}.mkv,movie,The Running Man,unmatched,ambiguous movie title match,,,,0
imdb://tt14107334,F:\MediaStack\data\media\movies\The Running Man (2025)\The Running Man (2025) [Bluray-1080p] {imdb-tt14107334}.mkv,movie,The Running Man,unmatched,ambiguous movie title match,,,,0
imdb://tt1979320,F:\MediaStack\data\media\movies\Rush (2013)\Rush (2013) [Bluray-1080p] {imdb-tt1979320}.mkv,movie,Rush,unmatched,ambiguous movie title match,,,,0
imdb://tt0047437,F:\MediaStack\data\media\movies\Sabrina (1954)\Sabrina (1954) [Bluray-1080p] {imdb-tt0047437}.mkv,movie,Sabrina,unmatched,ambiguous movie title match,,,,0
imdb://tt0114319,F:\MediaStack\data\media\movies\Sabrina (1995)\Sabrina (1995) [Bluray-1080p] {imdb-tt0114319}.mkv,movie,Sabrina,unmatched,ambiguous movie title match,,,,0
imdb://tt0087985,F:\MediaStack\data\media\movies\Red Dawn (1984)\Red Dawn (1984) [Bluray-1080p] {imdb-tt0087985}.mp4,movie,Red Dawn,unmatched,ambiguous movie title match,,,,0
imdb://tt0120784,F:\MediaStack\data\media\movies\Payback (1999)\Payback (1999) [Bluray-1080p] {imdb-tt0120784}.mkv,movie,Payback,unmatched,ambiguous movie title match,,,,0
imdb://tt0093693,F:\MediaStack\data\media\movies\Overboard (1987)\Overboard (1987) [Bluray-1080p] {imdb-tt0093693}.mkv,movie,Overboard,unmatched,ambiguous movie title match,,,,0
imdb://tt0377092,F:\MediaStack\data\media\movies\Mean Girls (2004)\Mean Girls (2004) [Bluray-1080p] {imdb-tt0377092}.mkv,movie,Mean Girls,unmatched,ambiguous movie title match,,,,0
imdb://tt0110367,F:\MediaStack\data\media\movies\Little Women (1994)\Little Women (1994) [Bluray-1080p] {imdb-tt0110367}.mkv,movie,Little Women,unmatched,ambiguous movie title match,,,,0
