detail,event_count,file_path,matched_media_id,matched_slug,media_type,plex_guid,sidecar_path,status,title
title-only movie match,219,F:\MediaStack\data\media\movies\Back to the Future (1985)\Back to the Future (1985) [Bluray-1080p] {imdb-tt0088763}.mp4,1564,back-to-the-future,movie,imdb://tt0088763,F:\MediaStack\data\media\movies\Back to the Future (1985)\Back to the Future (1985) [Bluray-1080p] {imdb-tt0088763}.leapfrog.json,written,Back to the Future
title-only movie match,181,"F:\MediaStack\data\media\movies\Yours, Mine & Ours (2005)\Yours Mine and Ours (2005) [WEBDL-1080p] {imdb-tt0443295}.mkv",3649,yours-mine-ours,movie,imdb://tt0443295,"F:\MediaStack\data\media\movies\Yours, Mine & Ours (2005)\Yours Mine and Ours (2005) [WEBDL-1080p] {imdb-tt0443295}.leapfrog.json",written,"Yours, Mine & Ours"
title-only movie match,127,F:\MediaStack\data\media\movies\Zathura - A Space Adventure (2005)\Zathura A Space Adventure (2005) [Bluray-1080p] {imdb-tt0406375}.mkv,3276,zathura-a-space-adventure,movie,imdb://tt0406375,F:\MediaStack\data\media\movies\Zathura - A Space Adventure (2005)\Zathura A Space Adventure (2005) [Bluray-1080p] {imdb-tt0406375}.leapfrog.json,written,Zathura: A Space Adventure
title-only movie match,134,F:\MediaStack\data\media\movies\Zero Dark Thirty (2012)\Zero Dark Thirty (2012) [Bluray-1080p Proper] {imdb-tt1790885}.mkv,1523,zero-dark-thirty,movie,imdb://tt1790885,F:\MediaStack\data\media\movies\Zero Dark Thirty (2012)\Zero Dark Thirty (2012) [Bluray-1080p Proper] {imdb-tt1790885}.leapfrog.json,written,Zero Dark Thirty
title-only movie match,146,F:\MediaStack\data\media\movies\Zookeeper (2011)\Zookeeper (2011) [Bluray-1080p] {imdb-tt1222817}.mkv,1368,zookeeper,movie,imdb://tt1222817,F:\MediaStack\data\media\movies\Zookeeper (2011)\Zookeeper (2011) [Bluray-1080p] {imdb-tt1222817}.leapfrog.json,written,Zookeeper
title-only movie match,78,F:\MediaStack\data\media\movies\The Zookeeper's Wife (2017)\The Zookeepers Wife (2017) [Bluray-1080p] {imdb-tt1730768}.mkv,148998,the-zookeepers-wife,movie,imdb://tt1730768,F:\MediaStack\data\media\movies\The Zookeeper's Wife (2017)\The Zookeepers Wife (2017) [Bluray-1080p] {imdb-tt1730768}.leapfrog.json,written,The Zookeeper's Wife
title-only movie match,151,F:\MediaStack\data\media\movies\Zoolander (2001)\Zoolander (2001) [Bluray-1080p] {imdb-tt0196229}.mp4,1232,zoolander,movie,imdb://tt0196229,F:\MediaStack\data\media\movies\Zoolander (2001)\Zoolander (2001) [Bluray-1080p] {imdb-tt0196229}.leapfrog.json,written,Zoolander
title-only movie match,190,F:\MediaStack\data\media\movies\Zoolander 2 (2016)\Zoolander 2 (2016) [Bluray-1080p] {imdb-tt1608290}.mkv,3076,zoolander-no-2-the-magnum-edition,movie,imdb://tt1608290,F:\MediaStack\data\media\movies\Zoolander 2 (2016)\Zoolander 2 (2016) [Bluray-1080p] {imdb-tt1608290}.leapfrog.json,written,Zoolander 2
title-only movie match,90,F:\MediaStack\data\media\movies\Wonder (2017)\Wonder (2017) [Bluray-720p] {imdb-tt2543472}.mkv,212002,wonder,movie,imdb://tt2543472,F:\MediaStack\data\media\movies\Wonder (2017)\Wonder (2017) [Bluray-720p] {imdb-tt2543472}.leapfrog.json,written,Wonder
title-only movie match,256,F:\MediaStack\data\media\movies\The World Is Not Enough (1999)\The World Is Not Enough (1999) [WEBDL-1080p] {imdb-tt0143145}.mkv,660406,the-world-is-not-enough,movie,imdb://tt0143145,F:\MediaStack\data\media\movies\The World Is Not Enough (1999)\The World Is Not Enough (1999) [WEBDL-1080p] {imdb-tt0143145}.leapfrog.json,written,The World Is Not Enough
title-only movie match,157,F:\MediaStack\data\media\movies\World War Z (2013)\World War Z (2013) [Bluray-1080p] {imdb-tt0816711}.mkv,1008,world-war-z,movie,imdb://tt0816711,F:\MediaStack\data\media\movies\World War Z (2013)\World War Z (2013) [Bluray-1080p] {imdb-tt0816711}.leapfrog.json,written,World War Z
title-only movie match,365,F:\MediaStack\data\media\movies\Wrath of Man (2021)\Wrath of Man (2021) [Bluray-1080p] {imdb-tt11083552}.mkv,691186,wrath-of-man,movie,imdb://tt11083552,F:\MediaStack\data\media\movies\Wrath of Man (2021)\Wrath of Man (2021) [Bluray-1080p] {imdb-tt11083552}.leapfrog.json,written,Wrath of Man
title-only movie match,226,F:\MediaStack\data\media\movies\xXx (2002)\xXx (2002) [Bluray-1080p] {imdb-tt0295701}.mkv,3776,xxx,movie,imdb://tt0295701,F:\MediaStack\data\media\movies\xXx (2002)\xXx (2002) [Bluray-1080p] {imdb-tt0295701}.leapfrog.json,written,xXx
title-only movie match,347,F:\MediaStack\data\media\movies\xXx - Return of Xander Cage (2017)\xXx Return of Xander Cage (2017) [Bluray-1080p] {imdb-tt1293847}.mkv,33515,xxx-return-of-xander-cage,movie,imdb://tt1293847,F:\MediaStack\data\media\movies\xXx - Return of Xander Cage (2017)\xXx Return of Xander Cage (2017) [Bluray-1080p] {imdb-tt1293847}.leapfrog.json,written,xXx: Return of Xander Cage
title-only movie match,132,F:\MediaStack\data\media\movies\Yesterday (2019)\Yesterday (2019) [Bluray-1080p] {imdb-tt8079248}.mkv,674723,yesterday,movie,imdb://tt8079248,F:\MediaStack\data\media\movies\Yesterday (2019)\Yesterday (2019) [Bluray-1080p] {imdb-tt8079248}.leapfrog.json,written,Yesterday
