plex_guid,file_path,media_type,title,status,detail,matched_media_id,matched_slug,sidecar_path,event_count
imdb://tt0088763,F:\MediaStack\data\media\movies\Back to the Future (1985)\Back to the Future (1985) [Bluray-1080p] {imdb-tt0088763}.mp4,movie,Back to the Future,written,title-only movie match,1564,back-to-the-future,F:\MediaStack\data\media\movies\Back to the Future (1985)\Back to the Future (1985) [Bluray-1080p] {imdb-tt0088763}.leapfrog.json,219
imdb://tt0443295,"F:\MediaStack\data\media\movies\Yours, Mine & Ours (2005)\Yours Mine and Ours (2005) [WEBDL-1080p] {imdb-tt0443295}.mkv",movie,"Yours, Mine & Ours",written,title-only movie match,3649,yours-mine-ours,"F:\MediaStack\data\media\movies\Yours, Mine & Ours (2005)\Yours Mine and Ours (2005) [WEBDL-1080p] {imdb-tt0443295}.leapfrog.json",181
imdb://tt0406375,F:\MediaStack\data\media\movies\Zathura - A Space Adventure (2005)\Zathura A Space Adventure (2005) [Bluray-1080p] {imdb-tt0406375}.mkv,movie,Zathura: A Space Adventure,written,title-only movie match,3276,zathura-a-space-adventure,F:\MediaStack\data\media\movies\Zathura - A Space Adventure (2005)\Zathura A Space Adventure (2005) [Bluray-1080p] {imdb-tt0406375}.leapfrog.json,127
imdb://tt1790885,F:\MediaStack\data\media\movies\Zero Dark Thirty (2012)\Zero Dark Thirty (2012) [Bluray-1080p Proper] {imdb-tt1790885}.mkv,movie,Zero Dark Thirty,written,title-only movie match,1523,zero-dark-thirty,F:\MediaStack\data\media\movies\Zero Dark Thirty (2012)\Zero Dark Thirty (2012) [Bluray-1080p Proper] {imdb-tt1790885}.leapfrog.json,134
imdb://tt1222817,F:\MediaStack\data\media\movies\Zookeeper (2011)\Zookeeper (2011) [Bluray-1080p] {imdb-tt1222817}.mkv,movie,Zookeeper,written,title-only movie match,1368,zookeeper,F:\MediaStack\data\media\movies\Zookeeper (2011)\Zookeeper (2011) [Bluray-1080p] {imdb-tt1222817}.leapfrog.json,146
imdb://tt1730768,F:\MediaStack\data\media\movies\The Zookeeper's Wife (2017)\The Zookeepers Wife (2017) [Bluray-1080p] {imdb-tt1730768}.mkv,movie,The Zookeeper's Wife,written,title-only movie match,148998,the-zookeepers-wife,F:\MediaStack\data\media\movies\The Zookeeper's Wife (2017)\The Zookeepers Wife (2017) [Bluray-1080p] {imdb-tt1730768}.leapfrog.json,78
imdb://tt0196229,F:\MediaStack\data\media\movies\Zoolander (2001)\Zoolander (2001) [Bluray-1080p] {imdb-tt0196229}.mp4,movie,Zoolander,written,title-only movie match,1232,zoolander,F:\MediaStack\data\media\movies\Zoolander (2001)\Zoolander (2001) [Bluray-1080p] {imdb-tt0196229}.leapfrog.json,151
imdb://tt1608290,F:\MediaStack\data\media\movies\Zoolander 2 (2016)\Zoolander 2 (2016) [Bluray-1080p] {imdb-tt1608290}.mkv,movie,Zoolander 2,written,title-only movie match,3076,zoolander-no-2-the-magnum-edition,F:\MediaStack\data\media\movies\Zoolander 2 (2016)\Zoolander 2 (2016) [Bluray-1080p] {imdb-tt1608290}.leapfrog.json,190
imdb://tt2543472,F:\MediaStack\data\media\movies\Wonder (2017)\Wonder (2017) [Bluray-720p] {imdb-tt2543472}.mkv,movie,Wonder,written,title-only movie match,212002,wonder,F:\MediaStack\data\media\movies\Wonder (2017)\Wonder (2017) [Bluray-720p] {imdb-tt2543472}.leapfrog.json,90
imdb://tt0143145,F:\MediaStack\data\media\movies\The World Is Not Enough (1999)\The World Is Not Enough (1999) [WEBDL-1080p] {imdb-tt0143145}.mkv,movie,The World Is Not Enough,written,title-only movie match,660406,the-world-is-not-enough,F:\MediaStack\data\media\movies\The World Is Not Enough (1999)\The World Is Not Enough (1999) [WEBDL-1080p] {imdb-tt0143145}.leapfrog.json,256
