detail,event_count,file_path,matched_media_id,matched_slug,media_type,plex_guid,sidecar_path,status,title
no movie match,0,F:\MediaStack\data\media\movies\Avatar (2009)\Avatar (2009) [Bluray-1080p] {imdb-tt0499549}.mkv,,,movie,imdb://tt0499549,,unmatched,Avatar
no movie match,0,F:\MediaStack\data\media\movies\You Gotta Stay Happy (1948)\You Gotta Stay Happy (1948) [WEBDL-480p] {imdb-tt0040982}.mkv,,,movie,imdb://tt0040982,,unmatched,You Gotta Stay Happy
no movie match,0,F:\MediaStack\data\media\movies\You've Got Mail (1998)\Youve Got Mail (1998) [Bluray-1080p] {imdb-tt0128853}.mkv,,,movie,imdb://tt0128853,,unmatched,You've Got Mail
no movie match,0,F:\MediaStack\data\media\movies\Young Frankenstein (1974)\Young Frankenstein (1974) [Bluray-1080p] {imdb-tt0072431}.mkv,,,movie,imdb://tt0072431,,unmatched,Young Frankenstein
no movie match,0,F:\MediaStack\data\media\movies\Your Name. (2016)\Your Name. (2016) [Bluray-1080p] {imdb-tt5311514}.mkv,,,movie,local://20401,,unmatched,Your Name.
no movie match,0,F:\MediaStack\data\media\movies\Zenon - Girl of the 21st Century (1999)\Zenon Girl of the 21st Century (1999) [WEBRip-720p] {imdb-tt0186726}.mp4,,,movie,imdb://tt0186726,,unmatched,Zenon: Girl of the 21st Century
no movie match,0,F:\MediaStack\data\media\movies\Zenon - The Zequel (2001)\Zenon The Zequel (2001) [Bluray-720p] {imdb-tt0271271}.mp4,,,movie,imdb://tt0271271,,unmatched,Zenon: The Zequel
no movie match,0,F:\MediaStack\data\media\movies\Zootopia (2016)\Zootopia (2016) [Bluray-1080p] {imdb-tt2948356}.mp4,,,movie,imdb://tt2948356,,unmatched,Zootopia
no movie match,0,F:\MediaStack\data\media\movies\Zootopia 2 (2025)\Zootopia 2 (2025) [Bluray-1080p] {imdb-tt26443597}.mkv,,,movie,imdb://tt26443597,,unmatched,Zootopia 2
no movie match,0,F:\MediaStack\data\media\movies\The Wolverine (2013)\The Wolverine (2013) [Bluray-1080p Proper] {imdb-tt1430132}.mp4,,,movie,imdb://tt1430132,,unmatched,The Wolverine
no movie match,0,F:\MediaStack\data\media\movies\Wonder Park (2019)\Wonder Park (2019) [Bluray-1080p] {imdb-tt6428676}.mp4,,,movie,imdb://tt6428676,,unmatched,Wonder Park
no movie match,0,F:\MediaStack\data\media\movies\Wonder Woman (2017)\Wonder Woman (2017) [Bluray-1080p] {imdb-tt0451279}.mkv,,,movie,imdb://tt0451279,,unmatched,Wonder Woman
no movie match,0,F:\MediaStack\data\media\movies\Wonder Woman 1984 (2020)\Wonder Woman 1984 (2020) [Bluray-1080p] {imdb-tt7126948}.mp4,,,movie,imdb://tt7126948,,unmatched,Wonder Woman 1984
