detail,event_count,file_path,matched_media_id,matched_slug,media_type,plex_guid,sidecar_path,status,title
missing episode match metadata,0,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E21 - Snow.mkv,,,episode,imdb://tt4792754,,unmatched,Your Lie in April – Season 1 – Snow
missing episode match metadata,0,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E22 - Spring Breeze.mkv,,,episode,imdb://tt4792756,,unmatched,Your Lie in April – Season 1 – Spring Wind
missing episode match metadata,0,F:\MediaStack\data\media\tv\The Universe\Season 03\The Universe - S03E08 - Stopping Armageddon.mkv,,,episode,imdb://tt1358097,,unmatched,The Universe – Season 3 – Stopping Armageddon
missing episode match metadata,0,F:\MediaStack\data\media\tv\The Universe\Season 03\The Universe - S03E09 - Another Earth.mkv,,,episode,imdb://tt1358094,,unmatched,The Universe – Season 3 – Another Earth
missing episode match metadata,0,F:\MediaStack\data\media\tv\The Universe\Season 03\The Universe - S03E10 - Strangest Things.mkv,,,episode,imdb://tt1333586,,unmatched,The Universe – Season 3 – Strangest Things
missing episode match metadata,0,F:\MediaStack\data\media\tv\The Universe\Season 03\The Universe - S03E11 - Edge of Space.mkv,,,episode,imdb://tt1380708,,unmatched,The Universe – Season 3 – Edge of Space
missing episode match metadata,0,F:\MediaStack\data\media\tv\The Universe\Season 03\The Universe - S03E12 - Cosmic Phenomena.mkv,,,episode,imdb://tt1356506,,unmatched,The Universe – Season 3 – Cosmic Phenomena
missing episode match metadata,0,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E01 - Monotone+Colorful.mkv,,,episode,imdb://tt4138088,,unmatched,Your Lie in April – Season 1 – Monotone / Colorful
missing episode match metadata,0,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E02 - Friend A.mkv,,,episode,imdb://tt4138126,,unmatched,Your Lie in April – Season 1 – Friend A
missing episode match metadata,0,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E03 - Inside Spring.mkv,,,episode,imdb://tt4138154,,unmatched,Your Lie in April – Season 1 – Inside Spring
missing episode match metadata,0,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E04 - Set Out.mkv,,,episode,imdb://tt4162578,,unmatched,Your Lie in April – Season 1 – Departure
missing episode match metadata,0,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E05 - Gray Skies.mkv,,,episode,imdb://tt4180850,,unmatched,Your Lie in April – Season 1 – Gray Skies
missing episode match metadata,0,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E06 - On The Way Home.mkv,,,episode,imdb://tt4196914,,unmatched,Your Lie in April – Season 1 – On the Way Home
missing episode match metadata,0,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E07 - The Shadows Whisper.mkv,,,episode,imdb://tt4200352,,unmatched,Your Lie in April – Season 1 – The Shadows Whisper
missing episode match metadata,0,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E08 - Let It Ring.mkv,,,episode,imdb://tt4200354,,unmatched,Your Lie in April – Season 1 – Let It Ring
missing episode match metadata,0,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E09 - Resonance.mkv,,,episode,imdb://tt4233402,,unmatched,Your Lie in April – Season 1 – Resonance
missing episode match metadata,0,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E10 - The Scenery I Shared With You.mkv,,,episode,imdb://tt4233404,,unmatched,Your Lie in April – Season 1 – The Scenery I Shared with You
missing episode match metadata,0,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E11 - Light of Life.mkv,,,episode,imdb://tt4233406,,unmatched,Your Lie in April – Season 1 – Light of Life
