show_title,show_slug,service_slug,year,rating,season_count,episode_count,event_count,category_count,tag_set_count
#blackAF,blackaf-1d0ed,netflix,2020,TV-MA,1,8,958,5,8
007: Road to a Million,007-road-to-a-million-e4aba,amazon-prime,2023,TV-MA,2,16,600,3,16
13 Reasons Why,13-reasons-why-dba5a,netflix,2017,TV-MA,4,49,5781,5,49
1670,1670-076f4,netflix,2023,TV-MA,1,8,373,5,8
1883,1883-2a925,paramount,2021,TV-MA,1,10,595,4,10
1899,1899-e601c,netflix,2022,TV-MA,1,8,301,4,8
1923,1923-93a67,paramount,2022,TV-MA,2,15,1124,5,15
3 Body Problem,3-body-problem-3e7c9,netflix,2024,TV-MA,1,8,428,5,8
3%,3-da15a,netflix,2016,TV-MA,4,33,2008,5,33
50M²,50m2-28b46,netflix,2021,TV-MA,1,8,425,4,8
56 Days,56-days-70af3,amazon-prime,2026,TV-MA,1,8,752,5,8
A Discovery of Witches,a-discovery-of-witches-84cbf,netflix,2018,TV-MA,3,25,758,4,25
A Gentleman in Moscow,a-gentleman-in-moscow-3e9bf,amazon-channels-paramount,2024,TV-14,1,8,311,5,8
A Girl and an Astronaut,a-girl-and-an-astronaut-b7a32,netflix,2023,TV-MA,1,6,296,5,6
A Good Girl's Guide to Murder,a-good-girls-guide-to-murder-ded51,netflix,2024,TV-MA,1,6,299,5,6
A Killer Uncaged,a-killer-uncaged-40e51,netflix,2020,TV-MA,1,3,45,4,3
A League of Their Own,a-league-of-their-own-27667,amazon-prime,2022,TV-MA,1,8,446,4,8
A Man in Full,a-man-in-full-428c2,netflix,2024,TV-MA,1,6,490,4,6
A Man on the Inside,a-man-on-the-inside-757ff,netflix,2024,TV-14,2,16,448,5,16
A Nearly Normal Family,a-nearly-normal-family-16477,netflix,2023,TV-MA,1,6,204,5,6
A Perfect Story,a-perfect-story-2b9e6,netflix,2023,TV-MA,1,5,341,3,5
A Series of Unfortunate Events,a-series-of-unfortunate-events-b4672,netflix,2017,TV-PG,3,25,1073,5,25
A Spy Among Friends,a-spy-among-friends-8c4bb,amazon-channels-mgm,2022,TV-MA,1,6,252,5,6
A Storm for Christmas,a-storm-for-christmas-ef593,netflix,2022,TV-MA,1,6,199,4,6
A Thousand Tomorrows,a-thousand-tomorrows-5a234,netflix,2023,TV-PG,1,6,114,5,6
A Very British Scandal,a-very-british-scandal-9be96,amazon-prime,2021,TV-MA,1,3,199,4,3
A Very English Scandal,a-very-english-scandal-5585a,amazon-prime,2018,TV-14,1,3,264,5,3
A Very Royal Scandal,a-very-royal-scandal-fb427,amazon-prime,2024,TV-MA,1,3,232,4,3
A.P. Bio,ap-bio-5cb50,peacock,2018,TV-14,4,42,1779,5,42
Absentia,absentia-afc0a,netflix,2017,TV-MA,3,30,1492,5,30
Abyss,abyss-2d332,netflix,2019,TV-14,1,16,730,5,16
Acapulco,acapulco-cb899,appletv,2021,TV-14,4,40,1864,5,40
Adolescence,adolescence-4f76e,netflix,2025,TV-MA,1,4,280,4,4
After Life,after-life-a75e3,netflix,2019,TV-MA,3,18,1067,5,18
Agatha Christie's Poirot,agatha-christies-poirot-78f00,amazon-channels-britbox,1989,TV-14,2,20,544,5,20
Agatha Christie's Seven Dials,agatha-christies-seven-dials-1999d,netflix,2026,TV-14,1,3,78,5,3
Age of Attraction,age-of-attraction-fea5b,netflix,2026,TV-MA,1,8,954,4,8
Agent Elvis,agent-elvis-3c4af,netflix,2023,TV-MA,1,10,1468,5,10
Alex Rider,alex-rider-ff71c,amazon-prime,2020,TV-14,3,24,627,5,24
Alexa & Katie,alexa-katie-b1e17,netflix,2018,TV-G,1,13,240,5,13
Alexander: The Making of a God,alexander-the-making-of-a-god-ceecf,netflix,2024,TV-14,1,6,193,5,6
Alias Grace,alias-grace-72b5a,netflix,2017,TV-MA,1,6,204,5,6
Alice in Borderland,alice-in-borderland-213e5,netflix,2020,TV-MA,3,22,1731,5,22
Alien TV,alien-tv-5e565,netflix,2020,TV-Y7,2,26,855,4,26
All Creatures Great & Small,all-creatures-great-small-da9b1,amazon-channels-pbs,2020,TV-14,6,42,1468,5,42
All Her Fault,all-her-fault-4ca4e,peacock,2025,TV-MA,1,8,373,5,8
All of Us Are Dead,all-of-us-are-dead-f6d1b,netflix,2022,TV-MA,1,12,1401,5,12
All or Nothing: Arsenal,all-or-nothing-arsenal-4ad6e,amazon-prime,2022,TV-MA,1,8,326,4,8
All or Nothing: Manchester City,all-or-nothing-manchester-city-061be,amazon-prime,2018,TV-MA,1,8,222,4,8
All or Nothing: Tottenham Hotspur,all-or-nothing-tottenham-hotspur-18a44,amazon-prime,2020,TV-MA,1,9,286,3,9
All the Light We Cannot See,all-the-light-we-cannot-see-3c058,netflix,2023,TV-MA,1,4,127,4,4
Almost Paradise,almost-paradise-17ec0,amazon-prime,2020,TV-PG,2,20,1310,5,20
Alpha House,alpha-house-feea8,amazon-prime,2013,TV-MA,2,21,944,5,21
Altered Carbon,altered-carbon-e94d8,netflix,2018,TV-MA,2,18,2198,5,18
Always a Witch,always-a-witch-81044,netflix,2019,TV-14,2,18,778,5,18
America's Team: The Gambler and His Cowboys,americas-team-the-gambler-and-his-cowboys-1db06,netflix,2025,TV-MA,1,8,464,4,8
American Conspiracy: The Octopus Murders,american-conspiracy-the-octopus-murders-cc66d,netflix,2024,TV-MA,1,4,88,4,4
American Gods,american-gods-b3bdf,amazon-prime,2017,TV-MA,3,26,2774,5,26
American Gothic,american-gothic-4ad13,amazon,2016,TV-14,1,13,454,5,13
American Manhunt: Osama bin Laden,american-manhunt-osama-bin-laden-c8c32,netflix,2025,TV-MA,1,3,101,3,3
American Manhunt: The Boston Marathon Bombing,american-manhunt-the-boston-marathon-bombing-4952d,netflix,2023,TV-MA,1,3,131,4,3
American Murder: Gabby Petito,american-murder-gabby-petito-17881,netflix,2025,TV-MA,1,3,62,4,3
American Murder: Laci Peterson,american-murder-laci-peterson-bc7ae,netflix,2024,TV-14,1,3,43,5,3
American Nightmare,american-nightmare-a718b,netflix,2024,TV-MA,1,3,112,5,3
American Primeval,american-primeval-b86f9,netflix,2025,TV-MA,1,6,456,5,6
American Rust,american-rust-c631b,amazon-prime,2021,TV-MA,2,19,1677,5,19
American Vandal,american-vandal-6d8cb,netflix,2017,TV-MA,2,16,1937,5,16
Amsterdam Empire,amsterdam-empire-4b8e0,netflix,2025,TV-MA,1,7,990,5,7
Amy Bradley Is Missing,amy-bradley-is-missing-dfb04,netflix,2025,TV-14,1,3,94,5,3
Anatomy of a Scandal,anatomy-of-a-scandal-17cd1,netflix,2022,TV-MA,1,6,399,5,6
Ancient Apocalypse,ancient-apocalypse-5b4ea,netflix,2022,TV-MA,1,8,62,4,8
Animated Stories from the New Testament,animated-stories-from-the-new-testament-74952,vidangel,1987,NR,1,24,286,5,24
Anne with an E,anne-with-an-e-11e64,netflix,2017,TV-PG,3,27,881,5,27
Another Life,another-life-b31fd,netflix,2019,TV-MA,2,20,1298,5,20
Anxious People,anxious-people-64164,netflix,2021,TV-MA,1,6,221,4,6
Apple Cider Vinegar,apple-cider-vinegar-6ffa2,netflix,2025,TV-MA,1,6,639,5,6
Apples Never Fall,apples-never-fall-510fe,peacock,2024,TV-MA,1,7,411,5,7
Arcane,arcane-ab321,netflix,2021,TV-14,2,18,1345,5,18
Archie: The Man Who Became Cary Grant,archie-the-man-who-became-cary-grant-325c1,amazon-channels-britbox,2023,TV-MA,1,4,127,5,4
Archive 81,archive-81-e3dd5,netflix,2022,TV-MA,1,8,508,4,8
ARK: The Animated Series,ark-the-animated-series-bb3d4,amazon-channels-paramount,2024,TV-14,1,6,381,5,6
Arnold,arnold-4002e,netflix,2023,TV-MA,1,3,331,4,3
As We See It,as-we-see-it-7a053,amazon-prime,2022,TV-14,1,8,327,5,8
"Ashley Madison: Sex, Lies & Scandal",ashley-madison-sex-lies-scandal-4b321,netflix,2024,TV-MA,1,3,223,4,3
Atypical,atypical-50835,netflix,2017,TV-14,4,38,1294,5,38
Avatar the Last Airbender,avatar-the-last-airbender-da32b,netflix,2024,TV-PG,1,8,306,4,8
Avatar: The Last Airbender,avatar-the-last-airbender-b0f39,netflix,2005,TV-Y7,3,54,1562,5,54
Away,away-160c1,netflix,2020,TV-14,1,10,226,5,10
B: The Beginning,b-the-beginning-3ed50,netflix,2018,TV-MA,1,12,456,5,12
Baby Reindeer,baby-reindeer-eb61c,netflix,2024,TV-MA,1,7,619,5,7
Back to 15,back-to-15-85873,netflix,2022,TV-14,1,6,204,5,6
Bad Influence: The Dark Side of Kidfluencing,bad-influence-the-dark-side-of-kidfluencing-8852b,netflix,2025,TV-MA,1,3,161,5,3
Bad Surgeon: Love Under the Knife,bad-surgeon-love-under-the-knife-6db41,netflix,2023,TV-MA,1,3,109,4,3
Bad Thoughts,bad-thoughts-cb156,netflix,2025,TV-MA,1,6,684,5,6
Bad Vegan: Fame. Fraud. Fugitives.,bad-vegan-fame-fraud-fugitives-545ec,netflix,2022,TV-MA,1,4,203,4,4
Ballard,ballard-18acb,amazon-prime,2025,TV-MA,1,10,444,4,10
Barbarians,barbarians-be525,netflix,2020,TV-MA,2,12,692,5,12
Based on a True Story,based-on-a-true-story-b8b7d,peacock,2023,TV-MA,2,16,1780,5,16
Battlestar Galactica,battlestar-galactica-2d0eb,amazon,2004,TV-14,4,73,4664,5,73
Beacon 23,beacon-23-4ef47,amazon-channels-mgm,2023,TV-MA,1,8,341,5,8
Beast Games,beast-games-77143,amazon-prime,2024,TV-PG,2,20,751,5,20
Beauty in Black,beauty-in-black-5bf6c,netflix,2024,TV-MA,2,32,8801,5,32
Beckham,beckham-2e6fa,netflix,2023,TV-MA,1,4,241,5,4
BEEF,beef-d1c1d,netflix,2023,TV-MA,2,18,1699,5,18
Before,before-f9057,appletv,2024,TV-MA,1,10,321,5,10
Behind Her Eyes,behind-her-eyes-7022d,netflix,2021,TV-MA,1,6,374,5,6
Being Erica,being-erica-8c079,amazon-prime,2009,TV-14,3,38,2572,5,38
Bel-Air,bel-air-afea9,peacock,2022,TV-MA,4,38,3669,5,38
Berlin,berlin-44d8a,netflix,2023,TV-MA,1,8,536,5,8
Best Foot Forward,best-foot-forward-d1d3f,appletv,2022,TV-G,1,10,87,4,10
