detail,event_count,file_path,matched_media_id,matched_slug,media_type,plex_guid,sidecar_path,status,title
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 03\Hunter x Hunter (2011) - S03E09 - Defeat x And x Reunion.mkv,,,episode,local://23431,,skipped,Hunter x Hunter – Season 3 – Episode 9
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 03\Hunter x Hunter (2011) - S03E10 - Chairman x And x Release.mkv,,,episode,local://23432,,skipped,Hunter x Hunter – Season 3 – Episode 10
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 03\Hunter x Hunter (2011) - S03E11 - Salvation x And x Future.mkv,,,episode,local://23433,,skipped,Hunter x Hunter – Season 3 – Episode 11
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 03\Hunter x Hunter (2011) - S03E12 - Past x And x Future.mkv,,,episode,local://23434,,skipped,Hunter x Hunter – Season 3 – Episode 12
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E66 - Breakdown x And x Awakening.mkv,,,episode,imdb://tt3055178,,skipped,Hunter x Hunter – Season 2 – Strategy x And x Scheme
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E67 - Great Power x And x Ultimate Power.mkv,,,episode,imdb://tt3055180,,skipped,Hunter x Hunter – Season 2 – 15 x 15
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E68 - Zero x And x Rose.mkv,,,episode,imdb://tt3055174,,skipped,Hunter x Hunter – Season 2 – Pirates x And x Guesses
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E69 - Hostility x And x Determination.mkv,,,episode,imdb://tt3055184,,skipped,Hunter x Hunter – Season 2 – A x Heated x Showdown
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E70 - Unparalleled Joy x And x Unconditional Love.mkv,,,episode,imdb://tt3055176,,skipped,Hunter x Hunter – Season 2 – Guts x And x Courage
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E71 - Formidable Enemy x And x Clear Objective.mkv,,,episode,imdb://tt3055182,,skipped,Hunter x Hunter – Season 2 – Bargain x And x Deal
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E72 - Magic x to x Destroy.mkv,,,episode,imdb://tt3055186,,skipped,Hunter x Hunter – Season 2 – Chase x And x Chance
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E73 - Anger x And x Light.mkv,,,episode,imdb://tt3055190,,skipped,Hunter x Hunter – Season 2 – Insanity x And x Sanity
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E74 - Flash x And x Start.mkv,,,episode,imdb://tt3055194,,skipped,Hunter x Hunter – Season 2 – Victor x And x Loser
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E75 - Deadline x To x Live.mkv,,,episode,imdb://tt3055192,,skipped,Hunter x Hunter – Season 2 – Ging's Friends x And x True Friends
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E76 - The Word x Is x You.mkv,,,episode,imdb://tt2919438,,skipped,Hunter x Hunter – Season 2 – Reunion x And x Understanding
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E77 - This Person x And x This Moment.mkv,,,episode,imdb://tt3055198,,skipped,Hunter x Hunter – Season 2 – Unease x And x Sighting
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E78 - Homecoming x And x True Name.mkv,,,episode,imdb://tt3055200,,skipped,Hunter x Hunter – Season 2 – Very x Rapid x Reproduction
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 03\Hunter x Hunter (2011) - S03E01 - Debate x Among x Zodiacs.mkv,,,episode,local://23423,,skipped,Hunter x Hunter – Season 3 – Episode 1
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 03\Hunter x Hunter (2011) - S03E02 - Request x And x Wish.mkv,,,episode,local://23424,,skipped,Hunter x Hunter – Season 3 – Episode 2
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 03\Hunter x Hunter (2011) - S03E03 - Alluka x And x Something.mkv,,,episode,local://23425,,skipped,Hunter x Hunter – Season 3 – Episode 3
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 03\Hunter x Hunter (2011) - S03E04 - Joining the Fray x And x Open Hostilities.mkv,,,episode,local://23426,,skipped,Hunter x Hunter – Season 3 – Episode 4
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 03\Hunter x Hunter (2011) - S03E05 - Magician x And x Butler.mkv,,,episode,local://23427,,skipped,Hunter x Hunter – Season 3 – Episode 5
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 03\Hunter x Hunter (2011) - S03E06 - Needles x And x Debt.mkv,,,episode,local://23428,,skipped,Hunter x Hunter – Season 3 – Episode 6
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 03\Hunter x Hunter (2011) - S03E07 - Sin x And x Claw.mkv,,,episode,local://23429,,skipped,Hunter x Hunter – Season 3 – Episode 7
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 03\Hunter x Hunter (2011) - S03E08 - Approval x And x Coalition.mkv,,,episode,local://23430,,skipped,Hunter x Hunter – Season 3 – Episode 8
