category_id,key,display_title,path_keys,path_titles,default_type,mapped_category,example_description
78,allah,All*h,language/blasphemy/allah,Language > Blasphemy > All*h,audio,profanity,
106,anus,an*s,language/language_sexual/anus,Language > Sexual Reference > an*s,audio,sexual_content,
52,arse,*rse,language/profanity/arse,Language > Profanity > *rse,audio,profanity,*rs*h*l*
65,arse_caption,*rse,language/profanity_captions/arse_caption,Language > Captions with Profanity > *rse,audiovisual,profanity,
53,ass,*ss,language/profanity/ass,Language > Profanity > *ss,audio,profanity,*ssh*l*
66,ass_caption,*ss,language/profanity_captions/ass_caption,Language > Captions with Profanity > *ss,audiovisual,profanity,
107,balls,b*lls,language/language_sexual/balls,Language > Sexual Reference > b*lls,audio,sexual_content,
54,bastard,b*st*rd,language/profanity/bastard,Language > Profanity > b*st*rd,audio,profanity,
67,bastard_caption,b*st*rd,language/profanity_captions/bastard_caption,Language > Captions with Profanity > b*st*rd,audiovisual,profanity,
55,bitch,b*tch,language/profanity/bitch,Language > Profanity > b*tch,audio,profanity,
68,bitch_caption,b*tch,language/profanity_captions/bitch_caption,Language > Captions with Profanity > b*tch,audiovisual,profanity,
56,bloody,bl**dy,language/profanity/bloody,Language > Profanity > bl**dy,audio,profanity,
69,bloody_caption,bl**dy,language/profanity_captions/bloody_caption,Language > Captions with Profanity > bl**dy,audiovisual,profanity,
108,blowjob,bl*wj*b,language/language_sexual/blowjob,Language > Sexual Reference > bl*wj*b,audio,sexual_content,
30,bodily_functions,Bodily Functions/Jokes,human_functions/bodily_functions,Medical & Body Process > Bodily Functions/Jokes,audiovisual,,A woman vomits on the floor.
57,bollocks,b*ll*cks,language/profanity/bollocks,Language > Profanity > b*ll*cks,audio,profanity,
70,bollocks_caption,b*ll*cks,language/profanity_captions/bollocks_caption,Language > Captions with Profanity > b*ll*cks,audiovisual,profanity,
58,bugger,bug**r,language/profanity/bugger,Language > Profanity > bug**r,audio,profanity,b*gg*r
71,bugger_caption,bug**r,language/profanity_captions/bugger_caption,Language > Captions with Profanity > bug**r,audiovisual,profanity,
84,bum,b*m,language/language_childish/bum,Language > Childish Language > b*m,audio,profanity,
85,butt,b*tt,language/language_childish/butt,Language > Childish Language > b*tt,audio,profanity,
90,chink,ch*nk,language/language_racial/chink,Language > Racial & Bigoted Slurs > ch*nk,audio,profanity,
79,christ,Chr*st,language/blasphemy/christ,Language > Blasphemy > Chr*st,audio,profanity,
109,clit,cl*t,language/language_sexual/clit,Language > Sexual Reference > cl*t,audio,sexual_content,
34,closing_credits,Closing Credits,credits/closing_credits,Credits & Extras > Closing Credits,audiovisual,,
110,cock,c*ck,language/language_sexual/cock,Language > Sexual Reference > c*ck,audio,sexual_content,
111,condom,c*nd*m,language/language_sexual/condom,Language > Sexual Reference > c*nd*m,audio,sexual_content,A woman mentions female condoms.
91,cracker,cr*ck*r,language/language_racial/cracker,Language > Racial & Bigoted Slurs > cr*ck*r,audio,profanity,
59,crap,cr*p,language/profanity/crap,Language > Profanity > cr*p,audio,profanity,
112,cum,c*m,language/language_sexual/cum,Language > Sexual Reference > c*m,audio,sexual_content,
114,cunillingus,c*n*ll*ng*s,language/language_sexual/cunillingus,Language > Sexual Reference > c*n*ll*ng*s,audio,sexual_content,
113,cunt,c*nt,language/profanity/cunt,Language > Profanity > c*nt,audio,profanity,
60,damn,d*mn,language/profanity/damn,Language > Profanity > d*mn,audio,profanity,g*dd*mn
73,damn_caption,d*mn,language/profanity_captions/damn_caption,Language > Captions with Profanity > d*mn,audiovisual,profanity,
115,dick,d*ck,language/language_sexual/dick,Language > Sexual Reference > d*ck,audio,sexual_content,
116,dildo,d*ld*,language/language_sexual/dildo,Language > Sexual Reference > d*ld*,audio,sexual_content,
117,dink,d*nk,language/language_sexual/dink,Language > Sexual Reference > d*nk,audio,sexual_content,
118,douche,do*che,language/language_sexual/douche,Language > Sexual Reference > do*che,audio,sexual_content,
12,drugs_illegal,Illegal Usage,alcohol_or_drug_use/drugs_illegal,Drugs & Alcohol > Illegal Usage,audiovisual,drugs,A woman drinks an illegally high dose of laudanum.
10,drugs_implied,Implied Usage,alcohol_or_drug_use/drugs_implied,Drugs & Alcohol > Implied Usage,audiovisual,drugs,A man puts an unlit cigar in his mouth.
11,drugs_legal,Legal Usage,alcohol_or_drug_use/drugs_legal,Drugs & Alcohol > Legal Usage,audiovisual,drugs,A man drinks alcohol.
86,dumb,d*mb,language/language_childish/dumb,Language > Childish Language > d*mb,audio,profanity,
121,fag,f*g,language/language_sexual/fag,Language > Sexual Reference > f*g,audio,sexual_content,
87,fart,f*rt,language/language_childish/fart,Language > Childish Language > f*rt,audio,profanity,
122,felatio,f*ll*t**,language/language_sexual/felatio,Language > Sexual Reference > f*ll*t**,audio,sexual_content,f*l*t**
61,fuck,f-word,language/profanity/fuck,Language > Profanity > f-word,audio,profanity,f*ck
74,fuck_caption,f-word,language/profanity_captions/fuck_caption,Language > Captions with Profanity > f-word,audiovisual,profanity,
123,gangbang,g*ngb*ng,language/language_sexual/gangbang,Language > Sexual Reference > g*ngb*ng,audio,sexual_content,
81,god,G*d,language/blasphemy/god,Language > Blasphemy > G*d,audio,profanity,g*dd*mn
16,gore,Gore,violence_blood_gore/gore,Violence > Gore,audiovisual,violence,A teenage boy cuts off a man's hand and part of his arm with a sword.
15,graphic,Graphic Violence,violence_blood_gore/graphic,Violence > Graphic Violence,audiovisual,violence,A painting depicts a man and a woman holding bloody swords above a dead woman on the ground with her eyes open.
124,hard_on,h*rd *n,language/language_sexual/hard_on,Language > Sexual Reference > h*rd *n,audio,sexual_content,A woman makes a reference to male sexual arousal.
92,heeb,h**b,language/language_racial/heeb,Language > Racial & Bigoted Slurs > h**b,audio,profanity,
62,hell,h*ll,language/profanity/hell,Language > Profanity > h*ll,audio,profanity,th* h*ll
75,hell_caption,h*ll,language/profanity_captions/hell_caption,Language > Captions with Profanity > h*ll,audiovisual,profanity,
125,horny,h*rn**st,language/language_sexual/horny,Language > Sexual Reference > h*rn**st,audio,sexual_content,h*rny
126,hump,h*mp,language/language_sexual/hump,Language > Sexual Reference > h*mp,audio,sexual_content,A woman makes a sexual comment.
47,immodesty_both,Male & Female Immodesty,sex_nudity_immodesty/immodesty_both,Nudity & Immodesty > Male & Female Immodesty,audiovisual,nudity,A man is seen in form-fitting pants that show a defined genital outline. A woman's cleavage is visible.
46,immodesty_female,Female Immodesty,sex_nudity_immodesty/immodesty_female,Nudity & Immodesty > Female Immodesty,audiovisual,nudity,A woman's genitals are outlined in athletic pants.
45,immodesty_male,Male Immodesty,sex_nudity_immodesty/immodesty_male,Nudity & Immodesty > Male Immodesty,audiovisual,nudity,A man's genital outline is visible in form-fitting pants.
13,implied,Implied Violence,violence_blood_gore/implied,Violence > Implied Violence,audio,violence,A woman mentions how a man stuck a grenade in a teenage boy's mouth.
37,implied_not_shown,Implied Sex,sex_any/implied_not_shown,Sex > Implied Sex,audiovisual,sexual_content,A man and a woman lie in bed and talk after sex.
41,implied_nudity,Implied Nudity,sex_nudity_immodesty/implied_nudity,Nudity & Immodesty > Implied Nudity,audiovisual,nudity,A man sits in a bath.
94,jap,j*p,language/language_racial/jap,Language > Racial & Bigoted Slurs > j*p,audio,profanity,
127,jerk,je*k,language/language_sexual/jerk,Language > Sexual Reference > je*k,audio,sexual_content,
80,jesus,J*sus,language/blasphemy/jesus,Language > Blasphemy > J*sus,audio,profanity,
95,jiz,j*z,language/language_racial/jiz,Language > Racial & Bigoted Slurs > j*z,audio,profanity,
