plex_guid,file_path,media_type,title,status,detail,matched_media_id,matched_slug,sidecar_path,event_count
imdb://tt0499549,F:\MediaStack\data\media\movies\Avatar (2009)\Avatar (2009) [Bluray-1080p] {imdb-tt0499549}.mkv,movie,Avatar,unmatched,no movie match,,,,0
imdb://tt4792754,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E21 - Snow.mkv,episode,Your Lie in April – Season 1 – Snow,unmatched,missing episode match metadata,,,,0
imdb://tt4792756,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E22 - Spring Breeze.mkv,episode,Your Lie in April – Season 1 – Spring Wind,unmatched,missing episode match metadata,,,,0
imdb://tt1358097,F:\MediaStack\data\media\tv\The Universe\Season 03\The Universe - S03E08 - Stopping Armageddon.mkv,episode,The Universe – Season 3 – Stopping Armageddon,unmatched,missing episode match metadata,,,,0
imdb://tt1358094,F:\MediaStack\data\media\tv\The Universe\Season 03\The Universe - S03E09 - Another Earth.mkv,episode,The Universe – Season 3 – Another Earth,unmatched,missing episode match metadata,,,,0
imdb://tt1333586,F:\MediaStack\data\media\tv\The Universe\Season 03\The Universe - S03E10 - Strangest Things.mkv,episode,The Universe – Season 3 – Strangest Things,unmatched,missing episode match metadata,,,,0
imdb://tt1380708,F:\MediaStack\data\media\tv\The Universe\Season 03\The Universe - S03E11 - Edge of Space.mkv,episode,The Universe – Season 3 – Edge of Space,unmatched,missing episode match metadata,,,,0
imdb://tt1356506,F:\MediaStack\data\media\tv\The Universe\Season 03\The Universe - S03E12 - Cosmic Phenomena.mkv,episode,The Universe – Season 3 – Cosmic Phenomena,unmatched,missing episode match metadata,,,,0
imdb://tt4138088,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E01 - Monotone+Colorful.mkv,episode,Your Lie in April – Season 1 – Monotone / Colorful,unmatched,missing episode match metadata,,,,0
imdb://tt4138126,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E02 - Friend A.mkv,episode,Your Lie in April – Season 1 – Friend A,unmatched,missing episode match metadata,,,,0
imdb://tt4138154,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E03 - Inside Spring.mkv,episode,Your Lie in April – Season 1 – Inside Spring,unmatched,missing episode match metadata,,,,0
imdb://tt4162578,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E04 - Set Out.mkv,episode,Your Lie in April – Season 1 – Departure,unmatched,missing episode match metadata,,,,0
imdb://tt4180850,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E05 - Gray Skies.mkv,episode,Your Lie in April – Season 1 – Gray Skies,unmatched,missing episode match metadata,,,,0
imdb://tt4196914,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E06 - On The Way Home.mkv,episode,Your Lie in April – Season 1 – On the Way Home,unmatched,missing episode match metadata,,,,0
imdb://tt4200352,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E07 - The Shadows Whisper.mkv,episode,Your Lie in April – Season 1 – The Shadows Whisper,unmatched,missing episode match metadata,,,,0
imdb://tt4200354,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E08 - Let It Ring.mkv,episode,Your Lie in April – Season 1 – Let It Ring,unmatched,missing episode match metadata,,,,0
imdb://tt4233402,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E09 - Resonance.mkv,episode,Your Lie in April – Season 1 – Resonance,unmatched,missing episode match metadata,,,,0
imdb://tt4233404,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E10 - The Scenery I Shared With You.mkv,episode,Your Lie in April – Season 1 – The Scenery I Shared with You,unmatched,missing episode match metadata,,,,0
imdb://tt4233406,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E11 - Light of Life.mkv,episode,Your Lie in April – Season 1 – Light of Life,unmatched,missing episode match metadata,,,,0
imdb://tt4294374,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E12 - Twinkle Little Star.mkv,episode,Your Lie in April – Season 1 – Twinkle Twinkle Little Star,unmatched,missing episode match metadata,,,,0
imdb://tt4294384,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E13 - Love's Sadness.mkv,episode,Your Lie in April – Season 1 – Love's Sorrow,unmatched,missing episode match metadata,,,,0
imdb://tt4294388,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E14 - Footprints.mkv,episode,Your Lie in April – Season 1 – Footsteps,unmatched,missing episode match metadata,,,,0
imdb://tt4384848,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E15 - Liar.mkv,episode,Your Lie in April – Season 1 – Liar,unmatched,missing episode match metadata,,,,0
imdb://tt4384854,F:\MediaStack\data\media\tv\Your Lie in April\Season 01\Your Lie in April - S01E16 - Two of a Kind.mkv,episode,Your Lie in April – Season 1 – Two of a Kind,unmatched,missing episode match metadata,,,,0
